,編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
421,RPORMLTKOHOFFBJ86CA,公園段,60.87,都市：商,10000,88,持分移轉,4700000
422,RPPPMLRLOHOFFBJ66CA,省道段,20.64,都市：住,10000,131,持分移轉,1220000
423,RPQPMLRLOHOFFBJ76CA,省道段,20.64,都市：住,10000,131,持分移轉,1220000
424,RPRPMLRLOHOFFBJ86CA,省道段,20.64,都市：住,10000,131,持分移轉,1220000
425,RPSPMLRLOHOFFBJ96CA,省道段,28.05,都市：住,10000,178,持分移轉,1220000
426,RPTPMLRLOHOFFBJ07CA,省道段,28.05,都市：住,10000,178,持分移轉,1220000
427,RPUPMLRLOHOFFBJ17CA,省道段,21.75,都市：住,10000,138,持分移轉,1220000
428,RPWPMLRLOHOFFBJ37CA,省道段,21.75,都市：住,10000,138,持分移轉,1220000
429,RPXPMLRLOHOFFBJ47CA,省道段,21.75,都市：住,10000,138,持分移轉,1220000
430,RPOQMLRLOHOFFBJ66CA,省道段,28.05,都市：住,10000,178,持分移轉,1220000
431,RPPQMLRLOHOFFBJ76CA,省道段,28.05,都市：住,10000,178,持分移轉,1220000
432,RPQQMLRLOHOFFBJ86CA,省道段,28.21,都市：住,10000,179,持分移轉,1220000
433,RPRQMLRLOHOFFBJ96CA,省道段,20.49,都市：住,10000,130,持分移轉,1220000
434,RPSQMLRLOHOFFBJ07CA,省道段,20.49,都市：住,10000,130,持分移轉,1220000
435,RPTQMLRLOHOFFBJ17CA,省道段,20.49,都市：住,10000,130,持分移轉,1220000
436,RPUQMLRLOHOFFBJ27CA,省道段,28.05,都市：住,10000,178,持分移轉,1220000
437,RPVQMLRLOHOFFBJ37CA,省道段,28.05,都市：住,10000,178,持分移轉,1220000
438,RPWQMLRLOHOFFBJ47CA,省道段,20.49,都市：住,10000,130,持分移轉,1220000
439,RPVNMLKLOHOFFCJ09CA,那羅段,1140.0,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,1700000
440,RPQNMLMJPHOFFCJ68CA,橫富段,92.8,都市：住,1,1,全筆移轉,5310000
441,RPXNMLLKPHOFFCJ76CA,國王段,58.06,非都市：特定農業區 ; 非都市編定：丁種建築用地,100000,755,持分移轉,5030000
442,RPXNMLLKPHOFFCJ76CA,國王段,2.1,非都市：特定農業區 ; 非都市編定：丁種建築用地,100000,755,持分移轉,5030016
443,RPXNMLLKPHOFFCJ76CA,國王段,7.31,非都市：特定農業區 ; 非都市編定：甲種建築用地,134,1,持分移轉,5070000
444,RPUNMLKKPHOFFBJ88CA,大學段,11.92,都市：商,100000,840,持分移轉,460000
445,RPSTMLRLOHOFFBJ37CA,水瀧段,15.73,都市：商,10000,42,持分移轉,15260000
446,RPTTMLRLOHOFFBJ47CA,水瀧段,15.73,都市：商,10000,42,持分移轉,15260000
447,RPRSMLRLOHOFFBJ17CA,水瀧段,16.1,都市：商,10000,43,持分移轉,15260000
448,RPSSMLRLOHOFFBJ27CA,水瀧段,16.1,都市：商,10000,43,持分移轉,15260000
449,RPUSMLRLOHOFFBJ47CA,水瀧段,9.36,都市：商,10000,25,持分移轉,15260000
450,RPVSMLRLOHOFFBJ57CA,水瀧段,9.36,都市：商,10000,25,持分移轉,15260000
451,RPWSMLRLOHOFFBJ67CA,水瀧段,9.36,都市：商,10000,25,持分移轉,15260000
452,RPXSMLRLOHOFFBJ77CA,水瀧段,16.1,都市：商,10000,43,持分移轉,15260000
453,RPOTMLRLOHOFFBJ96CA,水瀧段,16.1,都市：商,10000,43,持分移轉,15260000
454,RPVTMLRLOHOFFBJ67CA,水瀧段,15.73,都市：商,10000,42,持分移轉,15260000
455,RPWTMLRLOHOFFBJ77CA,水瀧段,15.73,都市：商,10000,42,持分移轉,15260000
456,RPXTMLRLOHOFFBJ87CA,水瀧段,15.73,都市：商,10000,42,持分移轉,15260000
457,RPOUMLRLOHOFFBJ07CA,水瀧段,9.36,都市：商,10000,25,持分移轉,15260000
458,RPPUMLRLOHOFFBJ17CA,水瀧段,9.36,都市：商,10000,25,持分移轉,15260000
459,RPQUMLRLOHOFFBJ27CA,水瀧段,9.36,都市：商,10000,25,持分移轉,15260000
460,RPRUMLRLOHOFFBJ37CA,水瀧段,16.1,都市：商,10000,43,持分移轉,15260000
461,RPSUMLRLOHOFFBJ47CA,水瀧段,16.1,都市：商,10000,43,持分移轉,15260000
462,RPTUMLRLOHOFFBJ57CA,水瀧段,16.1,都市：商,10000,43,持分移轉,15260000
463,RPUUMLRLOHOFFBJ67CA,水瀧段,16.1,都市：商,10000,43,持分移轉,15260000
464,RPVUMLRLOHOFFBJ77CA,水瀧段,16.1,都市：商,10000,43,持分移轉,15260000
465,RPSPMLPLOHOFFBJ76CA,莊敬段,27.88,都市：住,1000000,11714,持分移轉,4970000
466,RPXNMLRLOHOFFBJ27CA,翰林段,43.72,都市：住,10000,203,持分移轉,4780000
467,RPQQMLLLOHOFFBJ88CA,水瀧段,11.61,都市：商,10000,31,持分移轉,15260000
468,RPRQMLLLOHOFFBJ98CA,水瀧段,11.61,都市：商,10000,31,持分移轉,15260000
469,RPSQMLLLOHOFFBJ09CA,水瀧段,11.61,都市：商,10000,31,持分移轉,15260000
470,RPTQMLLLOHOFFBJ56CA,水瀧段,11.61,都市：商,10000,31,持分移轉,15260000
471,RPUQMLLLOHOFFBJ66CA,水瀧段,10.86,都市：商,10000,29,持分移轉,15260000
472,RPVQMLLLOHOFFBJ76CA,水瀧段,10.86,都市：商,10000,29,持分移轉,15260000
473,RPSNMLMLOHOFFBJ88CA,水瀧段,15.73,都市：商,10000,42,持分移轉,15260000
474,RPTNMLMLOHOFFBJ98CA,水瀧段,15.73,都市：商,10000,42,持分移轉,15260000
475,RPUNMLMLOHOFFBJ09CA,水瀧段,15.73,都市：商,10000,42,持分移轉,15260000
476,RPVNMLPLOHOFFBJ86CA,水瀧段,16.1,都市：商,10000,43,持分移轉,15260000
477,RPOPMLOLOHOFFBJ88CA,隘興段,5030.8,都市：住,1,1,全筆移轉,4480000
478,RPTPMLKLOHOFFBJ98CA,隘興段,22.52,都市：住,100000,1068,持分移轉,3320000
479,RPRNMLLLOHOFFBJ68CA,水瀧段,12.73,都市：商,10000,34,持分移轉,15260000
480,RPVPMLLLOHOFFBJ66CA,水瀧段,10.86,都市：商,10000,29,持分移轉,15260000
481,RPWPMLLLOHOFFBJ76CA,水瀧段,10.86,都市：商,10000,29,持分移轉,15260000
482,RPRPMLLLOHOFFBJ88CA,水瀧段,15.73,都市：商,10000,42,持分移轉,15260000
483,RPOPMLLLOHOFFBJ58CA,水瀧段,15.73,都市：商,10000,42,持分移轉,15260000
484,RPPPMLLLOHOFFBJ68CA,水瀧段,15.73,都市：商,10000,42,持分移轉,15260000
485,RPOPMLQLOHOFFBJ09CA,新城段,748.65,非都市：山坡地保育區 ; 非都市編定：農牧用地,100,93,持分移轉,3500002
486,RPOOMLOLOHOFFBJ78CA,遠東段,136.51,非都市：特定農業區 ; 非都市編定：農牧用地,2,1,持分移轉,9780000
487,RPOOMLOLOHOFFBJ78CA,遠東段,134.94,非都市：特定農業區 ; 非都市編定：農牧用地,2,1,持分移轉,9790000
488,RPOOMLOLOHOFFBJ78CA,遠東段,77.96,非都市：特定農業區 ; 非都市編定：農牧用地,2,1,持分移轉,9830000
489,RPPNMLRLOHOFFBJ09CA,翰林段,30.44,都市：住,10000,1736,持分移轉,6400003
490,RPPNMLRLOHOFFBJ09CA,翰林段,52.25,都市：住,1,1,全筆移轉,6400006
491,RPPTMLRLOHOFFBJ07CA,水瀧段,15.73,都市：商,10000,42,持分移轉,15260000
492,RPTSMLRLOHOFFBJ37CA,水瀧段,9.36,都市：商,10000,25,持分移轉,15260000
493,RPSNMLMJPHOFFBJ78CA,大學段,10.79,都市：商,100000,760,持分移轉,460000
494,RPSOMLOLOHOFFCJ66CA,下員段,1077.53,都市：農,1,1,全筆移轉,3930000
495,RPTNMLLLOHOFFDJ09CA,德盛段,543.5,非都市：特定農業區 ; 非都市編定：農牧用地,4,1,持分移轉,10500000
496,RPTNMLLLOHOFFDJ09CA,德盛段,543.5,非都市：特定農業區 ; 非都市編定：農牧用地,4,1,持分移轉,10500000
497,RPUNMLOLOHOFFDJ86CA,中美段,28.7,非都市：特定農業區 ; 非都市編定：甲種建築用地,3,1,持分移轉,14710003
