編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
RPTOMLOKNHOFFCA28CA,中山段一小段,0.03,都市：商,10000,1,持分移轉,2060000
RPTOMLOKNHOFFCA28CA,中山段一小段,0.1,都市：商,10000,1,持分移轉,2100000
RPXNMLSKOHOFFCA09CA,大湖段二小段,29.11,都市：住,10000,541,持分移轉,1730000
RPXNMLSKOHOFFCA09CA,大湖段二小段,16.5,都市：住,10000,541,持分移轉,1740001
RPUOMLOKNHOFFCA38CA,榮星段四小段,20.5,都市：住,10,1,持分移轉,3340001
RPUOMLOKNHOFFCA38CA,榮星段四小段,9.6,都市：住,10,1,持分移轉,3340004
RPVRMLPKNHOFFCA88CA,碧湖段一小段,34.32,都市：住,10000,197,持分移轉,8220000
RPVRMLPKNHOFFCA88CA,碧湖段一小段,0.14,都市：其他:道路用地(公共設施用地)【63/2/1】,10000,197,持分移轉,8220005
RPVRMLPKNHOFFCA88CA,碧湖段一小段,2.74,都市：住,10000,197,持分移轉,8340000
RPROMLQKNHOFFCA28CA,長春段一小段,82,都市：商,23,2,持分移轉,7960000
RPROMLQKNHOFFCA28CA,長春段一小段,37.13,都市：商,23,2,持分移轉,7960001
RPSRMLPKNHOFFCA58CA,碧湖段一小段,88.32,都市：住,10000,588,持分移轉,5110000
RPSRMLPKNHOFFCA58CA,碧湖段一小段,3.88,都市：住,10000,588,持分移轉,5130001
RPRRMLMKOHOFFCA28CA,石潭段三小段,1.47,都市：住,400000,1111,持分移轉,4450000
RPRRMLMKOHOFFCA28CA,石潭段三小段,1.07,都市：其他:道路用地,400000,1111,持分移轉,4460000
RPRRMLMKOHOFFCA28CA,石潭段三小段,0.92,都市：其他:道路用地,400000,1111,持分移轉,4560000
RPRRMLMKOHOFFCA28CA,石潭段三小段,2.2,都市：住,400000,1111,持分移轉,4580000
RPRRMLMKOHOFFCA28CA,石潭段三小段,0.02,都市：住,400000,1111,持分移轉,4690000
RPQRMLMKOHOFFCA18CA,石潭段三小段,1.47,都市：住,400000,1111,持分移轉,4450000
RPQRMLMKOHOFFCA18CA,石潭段三小段,1.07,都市：其他:道路用地,400000,1111,持分移轉,4460000
RPQRMLMKOHOFFCA18CA,石潭段三小段,0.92,都市：其他:道路用地,400000,1111,持分移轉,4560000
RPQRMLMKOHOFFCA18CA,石潭段三小段,2.2,都市：住,400000,1111,持分移轉,4580000
RPQRMLMKOHOFFCA18CA,石潭段三小段,0.02,都市：住,400000,1111,持分移轉,4690000
RPSRMLMKOHOFFCA38CA,石潭段三小段,1.07,都市：其他:道路用地,400000,1111,持分移轉,4460000
RPSRMLMKOHOFFCA38CA,石潭段三小段,0.92,都市：其他:道路用地,400000,1111,持分移轉,4560000
RPSRMLMKOHOFFCA38CA,石潭段三小段,2.2,都市：住,400000,1111,持分移轉,4580000
RPSRMLMKOHOFFCA38CA,石潭段三小段,0.02,都市：住,400000,1111,持分移轉,4690000
RPSRMLMKOHOFFCA38CA,石潭段三小段,1.47,都市：住,400000,1111,持分移轉,4450000
RPPOMLMLNHOFFBA67CA,雙園段三小段,29.25,都市：住,4,1,持分移轉,7340000
RPTOMLMLNHOFFBA08CA,玉泉段一小段,3.09,都市：商,10000,32,持分移轉,4540000
RPUNMLNLNHOFFCA28CA,西湖段二小段,22.32,都市：住,100000,2340,持分移轉,3480000
RPUPMLOKNHOFFBA38CA,直興段二小段,33.6,都市：商,13880,1388,持分移轉,1760000
RPUPMLOKNHOFFBA38CA,直興段二小段,1.1,都市：其他:道路用地,20,2,持分移轉,1760004
RPXNMLOKNHOFFBA48CA,漢中段三小段,7.77,都市：商,100000,209,持分移轉,8160000
RPXNMLOKNHOFFBA48CA,漢中段三小段,0.3,都市：商,100000,8,持分移轉,8160000
RPOPMLPKNHOFFBA87CA,中正段二小段,3.03,都市：商,10000,62,持分移轉,5070000
RPPPMLPKNHOFFBA97CA,青年段一小段,21.6,都市：住,90000,48,持分移轉,880000
RPXNMLKMIIOFFCA08DA,榮星段二小段,21.44,都市：住,10000,98,持分移轉,5710000
RPUNMLNKOHOFFBA18CA,青年段一小段,9.44,都市：住,400000,729,持分移轉,1240004
RPUNMLQKNHOFFBA38CA,橋北段三小段,26.75,都市：住,4,1,持分移轉,7070000
RPUNMLTKOHOFFCA88CA,潭美段四小段,21.44,都市：住,10000,1649,持分移轉,3340000
RPUNMLTKOHOFFCA88CA,潭美段四小段,0.11,都市：住,10000,1,持分移轉,3230000
RPUNMLTKOHOFFCA88CA,潭美段四小段,5.55,都市：其他:道路用地,31,1,持分移轉,3340003
RPTOMLQKNHOFFBA38CA,莒光段四小段,17.33,都市：其他:特定專用區,3,1,持分移轉,2040000
RPTOMLQKNHOFFBA38CA,莒光段四小段,4,都市：其他:道路用地,3,1,持分移轉,2050000
RPXOMLPKNHOFFAA58CA,萬芳段二小段,163.57,都市：住,10000,48,持分移轉,6000000
RPPPMLPKNHOFFAA87CA,萬芳段二小段,149.94,都市：住,10000,44,持分移轉,6000000
RPWPMLPKNHOFFAA58CA,木柵段二小段,34,都市：住,4,1,持分移轉,2290000
RPOQMLPKNHOFFAA87CA,木柵段三小段,26.68,都市：住,10000,91,持分移轉,8100000
RPPNMLQKNHOFFAA77CA,實踐段三小段,78,都市：住,1,1,全筆移轉,3940000
RPWNMLQKNHOFFAA48CA,福和段二小段,19.57,都市：住,1548980,2961,持分移轉,770000
RPWNMLQKNHOFFAA48CA,福和段二小段,0.05,都市：其他:道路用地(公共設施用地)(公地撥用),1548980,2961,持分移轉,770001
RPWNMLQKNHOFFAA48CA,福和段二小段,0.01,都市：其他:道路用地(公共設施用地),1548980,2961,持分移轉,770002
